! pseudo-colour table (attribute format)
!
! min: max  ;  red  green  blue
!
          0 ;    0     0      0
          1 ;    0   255      4
          2 ;    0   255      0
          3 ;    5   255      0
          4 ;   10   255      0
          5 ;   15   255      0
          6 ;   20   255      0
          7 ;   25   255      0
          8 ;   30   255      0
          9 ;   35   255      0
         10 ;   40   255      0
         11 ;   45   255      0
         12 ;   50   255      0
         13 ;   55   255      0
         14 ;   60   255      0
         15 ;   65   255      0
         16 ;   70   255      0
         17 ;   75   255      0
         18 ;   80   255      0
         19 ;   85   255      0
         20 ;   90   255      0
         21 ;   95   255      0
         22 ;  100   255      0
         23 ;  105   255      0
         24 ;  110   255      0
         25 ;  115   255      0
         26 ;  120   255      0
         27 ;  125   255      0
         28 ;  130   255      0
         29 ;  135   255      0
         30 ;  140   255      0
         31 ;  145   255      0
         32 ;  150   255      0
         33 ;  155   255      0
         34 ;  160   255      0
         35 ;  165   255      0
         36 ;  170   255      0
         37 ;  175   255      0
         38 ;  180   255      0
         39 ;  185   255      0
         40 ;  190   255      0
         41 ;  195   255      0
         42 ;  200   255      0
         43 ;  205   255      0
         44 ;  210   255      0
         45 ;  215   255      0
         46 ;  220   255      0
         47 ;  225   255      0
         48 ;  230   255      0
         49 ;  235   255      0
         50 ;  240   255      0
         51 ;  246   255      0
         52 ;  251   255      0
         53 ;  255   253      0
         54 ;  255   248      0
         55 ;  255   243      0
         56 ;  255   238      0
         57 ;  255   233      0
         58 ;  255   228      0
         59 ;  255   223      0
         60 ;  255   218      0
         61 ;  255   213      0
         62 ;  255   208      0
         63 ;  255   203      0
         64 ;  255   198      0
         65 ;  255   193      0
         66 ;  255   188      0
         67 ;  255   183      0
         68 ;  255   178      0
         69 ;  255   173      0
         70 ;  255   168      0
         71 ;  255   163      0
         72 ;  255   158      0
         73 ;  255   153      0
         74 ;  255   148      0
         75 ;  255   143      0
         76 ;  255   138      0
         77 ;  255   133      0
         78 ;  255   128      0
         79 ;  255   123      0
         80 ;  255   118      0
         81 ;  255   113      0
         82 ;  255   108      0
         83 ;  255   103      0
         84 ;  255    98      0
         85 ;  255    93      0
         86 ;  255    88      0
         87 ;  255    83      0
         88 ;  255    78      0
         89 ;  255    73      0
         90 ;  255    68      0
         91 ;  255    63      0
         92 ;  255    58      0
         93 ;  255    53      0
         94 ;  255    48      0
         95 ;  255    43      0
         96 ;  255    38      0
         97 ;  255    33      0
         98 ;  255    28      0
         99 ;  255    14      0
        100 ;  255     0      0
! 101 :  254 ;    0     0      0
!        255 ;  128   128    128
